file_names,num_rows,num_cols
/user/bigdata/nyc_open_data/22rf-yxcy.json,1238336,38
/user/bigdata/nyc_open_data/22zm-qrtq.json,14,11
/user/bigdata/nyc_open_data/23rb-xz43.json,19,7
/user/bigdata/nyc_open_data/24nr-gahi.json,87,9
/user/bigdata/nyc_open_data/25aa-q86c.json,6924,70
/user/bigdata/nyc_open_data/25cx-4jug.json,1729,13
/user/bigdata/nyc_open_data/25th-nujf.json,22035,6
/user/bigdata/nyc_open_data/26kp-bgdh.json,231,15
/user/bigdata/nyc_open_data/26ze-s5bx.json,10,2
/user/bigdata/nyc_open_data/276h-y36a.json,157,6
/user/bigdata/nyc_open_data/27h8-t3wt.json,1120,16
/user/bigdata/nyc_open_data/28rh-vpvr.json,572,4
/user/bigdata/nyc_open_data/29bv-qqsy.json,1743,56
/user/bigdata/nyc_open_data/29bw-z7pj.json,592372,54
/user/bigdata/nyc_open_data/29km-avyc.json,4578,11
/user/bigdata/nyc_open_data/29ry-u5bf.json,6828,70
/user/bigdata/nyc_open_data/2bh6-qmgg.json,98,15
/user/bigdata/nyc_open_data/2bnn-yakx.json,10803028,43
/user/bigdata/nyc_open_data/2cmn-uidm.json,11544,13
/user/bigdata/nyc_open_data/2ei9-vg68.json,5,3
/user/bigdata/nyc_open_data/2emc-na4n.json,77561,12
/user/bigdata/nyc_open_data/2enn-s52j.json,8,4
/user/bigdata/nyc_open_data/2eq2-trdu.json,43,8
/user/bigdata/nyc_open_data/2fra-mtpn.json,468761,24
/user/bigdata/nyc_open_data/2fws-68t6.json,230,73
/user/bigdata/nyc_open_data/2gjq-v9z9.json,83,15
/user/bigdata/nyc_open_data/2iia-33q9.json,30,13
/user/bigdata/nyc_open_data/2ij3-wj64.json,15,7
/user/bigdata/nyc_open_data/2j8u-wtju.json,5669,35
/user/bigdata/nyc_open_data/2jne-kr3f.json,3780,8
/user/bigdata/nyc_open_data/2n4x-d97d.json,2,21
/user/bigdata/nyc_open_data/2np7-5jsg.json,15837001,20
